% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.033	1	1	4	4	1	0	85
0.049	1	1	5	10	1	2	137
0.05	1	1	6	1	1	2	137
0.051	1	1	6	2	1	2	137
0.052	1	1	6	3	1	2	137
0.053	1	1	6	4	1	2	137
0.054	1	1	6	5	1	2	137
0.055	1	1	6	6	1	2	137
0.056	1	1	6	7	1	2	137
0.057	1	1	6	8	1	2	137
0.058	1	1	6	9	1	2	137
0.059	1	1	6	10	1	2	137
0.06	1	1	7	1	1	2	137
0.061	1	1	7	2	1	2	137
0.062	1	1	7	3	1	2	137
0.063	1	1	7	4	1	2	137
0.064	1	1	7	5	1	2	137
0.065	1	1	7	6	1	2	137
0.066	1	1	7	7	1	2	137
0.067	1	1	7	8	1	2	137
0.068	1	1	7	9	1	2	137
0.069	1	1	7	10	1	2	137
0.07	1	1	8	1	1	2	137
0.071	1	1	8	2	1	2	137
0.072	1	1	8	3	1	2	137
0.073	1	1	8	4	1	2	137
0.074	1	1	8	5	1	2	137
0.075	1	1	8	6	1	2	137
0.076	1	1	8	7	1	2	137
0.077	1	1	8	8	1	2	137
0.078	1	1	8	9	1	2	137
0.079	1	1	8	10	1	2	137
0.08	1	1	9	1	1	2	137
0.081	1	1	9	2	1	2	137
0.082	1	1	9	3	1	2	137
0.083	1	1	9	4	1	2	137
0.084	1	1	9	5	1	2	137
0.085	1	1	9	6	1	2	137
0.086	1	1	9	7	1	2	137
0.087	1	1	9	8	1	2	137
0.088	1	1	9	9	1	2	137
0.089	1	1	9	10	1	2	137
0.09	1	1	10	1	1	2	137
0.091	1	1	10	2	1	2	137
0.092	1	1	10	3	1	2	137
0.093	1	1	10	4	1	2	137
0.094	1	1	10	5	1	2	137
0.095	1	1	10	6	1	2	137
0.096	1	1	10	7	1	2	137
0.097	1	1	10	8	1	2	137
0.098	1	1	10	9	1	2	137
0.099	1	1	10	10	1	2	137
0.1	1	1	11	1	1	2	137
0.101	1	1	11	2	1	2	137
0.102	1	1	11	3	1	2	137
